,subject,trial,leftrating,rightrating,rt,choice,correct
545,17,67,0,3,1188,0,1
546,17,68,1,0,1282,1,1
547,17,69,2,0,1232,0,0
548,17,70,2,3,1224,1,0
549,17,71,0,5,819,0,1
550,17,72,0,3,1351,0,1
551,17,73,3,0,1347,1,1
552,17,74,0,2,886,0,1
553,17,75,0,0,1291,0,0
554,17,76,3,2,792,1,1
555,17,77,2,5,1666,0,1
556,17,78,3,2,874,1,1
557,17,79,2,2,778,1,0
558,17,80,4,2,1435,1,1
559,17,81,3,5,1401,0,1
560,17,82,3,3,957,1,0
561,17,83,3,2,908,1,1
562,17,84,4,0,991,1,1
563,17,85,2,3,1133,1,0
564,17,86,5,2,1009,1,1
565,17,87,5,3,1357,1,1
566,17,88,2,4,1676,0,1
567,17,89,5,2,803,1,1
568,17,90,2,0,3768,1,1
569,17,91,2,2,930,1,0
570,17,92,0,1,801,0,1
571,17,93,1,3,1041,0,1
572,17,94,2,4,929,0,1
573,17,95,2,2,1072,1,0
574,17,96,3,4,1638,0,1
575,17,97,2,2,1815,0,0
576,17,98,0,2,1092,0,1
577,17,99,1,5,2056,1,0
578,17,100,2,2,988,1,0
579,18,1,2,0,13456,1,1
580,18,2,8,8,6881,1,0
581,18,3,3,3,3420,0,0
582,18,4,4,3,5435,0,0
583,18,5,8,5,3374,1,1
584,18,6,5,0,6397,1,1
585,18,7,5,5,5665,1,0
586,18,8,4,5,5557,1,0
587,18,9,9,5,4688,1,1
588,18,10,6,2,8984,1,1
589,18,11,1,6,4972,0,1
590,18,12,4,5,3275,1,0
591,18,13,5,5,4538,1,0
592,18,14,7,5,4335,1,1
593,18,15,1,0,3051,1,1
594,18,16,6,4,2669,0,0
595,18,17,0,5,1531,0,1
596,18,18,5,10,1263,0,1
597,18,19,9,5,1071,1,1
598,18,20,5,0,2461,1,1
599,18,21,3,2,3950,1,1
600,18,22,4,5,4081,1,0
601,18,23,1,3,4340,0,1
602,18,24,9,5,2647,1,1
603,18,25,7,5,4659,1,1
604,18,26,9,6,2210,1,1
